week,lepto_count,total_rain,mean_temp,max_temp
2025-53,6,0.14,26.43239583,32.75
2025-52,1,11.28,26.59077381,32.75
2025-51,2,51.62,26.35178571,31.89
2025-50,3,6.6,26.95934524,32.75
2025-49,25,18.21,26.80863095,32.8
2025-48,15,53.79,27.32071429,32.75
2025-47,29,0.89,27.85458333,33.75
2025-46,16,124.99,27.11434524,32.75
2025-45,12,23.86,27.72505952,33.75
2025-44,26,44.37,28.18696429,33.75
2025-43,28,124.99,28.01577381,33.92
2025-42,34,31.4,27.93380952,33.88
2025-41,47,51.62,27.62625,34.43
2025-40,62,96.17,27.27785714,33.88
2025-39,38,114.73,26.80839286,32.34
2025-38,34,126.27,26.9014881,31.75
2025-37,33,68.26,27.25202381,33.51
2025-36,27,130.54,26.7914881,31.75
2025-35,22,110.3,27.04095238,32.77
2025-34,24,95.33,27.59428571,34.1
2025-33,46,58.81,27.5352381,34.03
2025-32,125,31.36,27.98172619,35.75
2025-31,134,35.03,28.61660714,34.43
2025-30,64,226.18,26.65833333,31.75
2025-29,31,146.44,27.81232143,33.68
2025-28,20,64.96,28.01922619,33.73
2025-27,16,146.42,26.97345238,32.85
2025-26,14,70.68,27.83827381,34.21
2025-25,14,49.42,28.64470238,36.46
2025-24,12,83.37,28.07755952,34.75
2025-23,3,159.98,28.81642857,35.56
2025-22,5,62.92,29.7647619,37.49
2025-21,5,1.17,31.22982143,38.52
2025-20,4,21.09,30.07130952,37.15
2025-19,4,41.09,29.59375,36.16
2025-18,1,4.26,31.12964286,38.95
2025-17,2,0,30.88154762,39.14
2025-16,3,2.92,29.91785714,38.08
2025-15,2,1.3,30.54285714,38.17
2025-14,5,3.18,28.89720238,35.81
2025-13,4,5.21,28.86791667,37.35
2025-12,4,0,27.59482143,34.81
2025-11,2,0.87,28.09940476,35.62
2025-10,3,6.49,28.40684524,36.1
2025-9,4,0,26.43654762,34.81
2025-8,3,9.57,27.10946429,33.75
2025-7,6,22.69,26.66238095,33.32
2025-6,4,6.13,27.27416667,35.01
2025-5,4,6.59,26.00755952,33.81
2025-4,5,0.45,27.03,33.52
2025-3,7,3.63,26.33488095,32.76
2025-2,3,0,25.9075,31.81
2025-1,4,36.72,26.88302083,32.81
2024-52,0,25.51,26.557875,32.75
2024-51,9,2.23,26.73297619,32.06
2024-50,10,81.7,27.17517857,33.03
2024-49,13,67.64,27.44952381,33.75
2024-48,15,7.61,27.50363095,33.75
2024-47,12,43.18,27.36386905,33.58
2024-46,6,46.71,28.08309524,33.75
2024-45,22,20.08,27.99583333,33.81
2024-44,18,28.97,28.10702381,33.75
2024-43,17,134.58,27.41660714,34.75
2024-42,21,21.13,28.47053571,33.75
2024-41,12,53.5,27.76261905,33.75
2024-40,20,30.21,28.1547619,34.49
2024-39,30,15.15,29.03654762,35.75
2024-38,40,146.06,27.02279762,32.22
2024-37,52,61.9,27.91369048,33.51
2024-36,31,144.43,26.71654762,33.75
2024-35,12,98.7,28.04142857,34.74
2024-34,16,56.44,28.82839286,35.75
2024-33,38,37.77,28.98071429,34.96
2024-32,119,157.69,28.21583333,33.75
2024-31,102,70.28,28.06916667,34.29
2024-30,29,164.96,27.47119048,32.75
2024-29,2,42.39,28.71613095,33.75
2024-28,7,64.69,28.90529762,35.07
2024-27,6,50.57,29.1714881,35.8
2024-26,1,32.71,29.39732143,36.04
2024-25,3,32.61,29.81333333,36.09
